"title","description"
"Нужно ли отчитываться в ФНС об открытии брокерского счета?","Нет, в налоговом законодательстве нет такой обязанности, если брокерский счет открыт у российского брокера. Отчитываться в ФНС нужно только при открытии счетов за пределами России — часть 2 статьи 12 закона о валютном регулировании. Однако юрлицам нужно учитывать сделки на бирже в своем бухучете и платить налог с инвестиционных доходов. Кратко про налоги для юрлиц при инвестировании на бирже Тинькофф также не уведомляет налоговую об открытии брокерских счетов для юридических лиц, если у таких юридических лиц нет брокерской лицензии."
"Сколько стоит открыть брокерский счет для юрлиц?","Это бесплатно."
"Как долго открывается брокерский счет для юрлиц?","Обычно открываем счет в течение нескольких минут. Если подали заявку в нерабочее время биржи, то откроем брокерский счет, как только откроется биржа."
"Как открыть брокерский счет для юрлиц?","Если расчетный счет в Тинькофф уже есть , подайте заявку в мобильном приложении или личном кабинете Тинькофф Бизнеса: в приложении: на главной выберите «Открыть новый продукт» → «Открыть брокерский счет»; в личном кабинете: «Счета и платежи» → «Добавить новый» → «Брокерский счет». Если нет расчетного счета в Тинькофф , подайте заявку на открытие брокерского счета на сайте Тинькофф — сначала откроем расчетный счет. Затем подайте заявку на брокерский счет в мобильном приложении или в личном кабинете Тинькофф Бизнеса. Подробнее о том, как открыть счет для бизнеса в Тинькофф"
"По каким тарифам в Тинькофф обслуживаются брокерские счета для юрлиц?","Обслуживание брокерского счета для бизнеса бесплатное. Мы не берем плату за открытие счета, пополнение и вывод денег. Комиссия за размещение денег будет учтена при расчете ставки биржевого овернайта. Дополнительно ничего платить не нужно. Полные тарифы брокерского счета"
"Где можно увидеть баланс брокерского счета для бизнеса?","На главном экране приложения Тинькофф Бизнеса или личного кабинета под названием счета."
"Как пополнить брокерский счет для юрлиц?","С расчетного счета компании в приложении или личном кабинете Тинькофф Бизнеса: в приложении с главной перейдите на брокерский счет → нажмите «Пополнить» → выберите, с какого счета хотите пополнить брокерский → введите сумму → нажмите «Перевести»; в личном кабинете с главной страницы перейдите на брокерский счет, он находится в списке счетов слева → нажмите «Пополнить» → выберите, с какого счета хотите пополнить брокерский → введите сумму → нажмите «Пополнить»."
"С каких счетов можно пополнить брокерский счет для бизнеса?","Только с рублевых и юаневых расчетных счетов в Тинькофф. Пополнить брокерский счет с чужого расчетного счета или расчетного счета физического лица нельзя."
"В какой валюте можно пополнить брокерский счет для бизнеса?","Пополнить брокерский счет можно в рублях и юанях."
"Сколько времени занимает пополнение?","Перевод с расчетного счета Тинькофф на брокерский счет проходит не больше 15 минут."
"Какова минимальная и максимальная сумма пополнения?","Ограничений нет. На брокерский счет можно внести любую сумму, и она не учитывается в лимитах на переводы."
"Какую комиссию нужно заплатить за пополнение брокерского счета для юрлиц?","Мы не берем комиссию за пополнение брокерского счета для юрлиц."
"Как компания может покупать валюту на бирже через Тинькофф?","Покупать валюту можно в приложении или личном кабинете Тинькофф Бизнеса. На главном экране в списке счетов выберите «Брокерский счет» → «Инструменты для бизнеса» → «Валюты и металлы». Выберите нужную валюту → «Купить». Оформите заявку на покупку → снова «Купить». На главной странице в списке счетов выберите «Брокерский счет» → «Инструменты для бизнеса» → «Валюты и металлы». Выберите валюту → «Купить». Оформите заявку на покупку → снова «Купить». После покупки на экране появится подтверждение «Заявка исполнена». Валюта сразу поступит на ваш брокерский счет."
"Как компания может продавать валюту на бирже через Тинькофф?","Продавать валюту можно в приложении или личном кабинете Тинькофф Бизнеса. На главном экране в списке счетов выберите «Брокерский счет» → «Инструменты для бизнеса» → «Валюты и металлы». Выберите валюту → «Продать». Оформите заявку на продажу → снова «Продать». На главном экране в списке счетов выберите «Брокерский счет» → «Инструменты для бизнеса» → «Валюты и металлы». Выберите валюту → «Продать». Оформите заявку → снова «Продать». После продажи на экране появится подтверждение «Заявка исполнена». Деньги сразу поступят на ваш брокерский счет."
"Когда можно продавать и покупать валюту на бирже?","Время начала и окончания торговых операций для разных валют может различаться. Мосбиржа публикует актуальное расписание на своем сайте, на странице с временным регламентом проведения торгов. Обратите внимание, что расписание периодически меняется. Временной регламент проведения торгов на валютном рынке Начало торгового дня совпадает с началом валютных торгов на Московской бирже. За полчаса до конца работы биржи торги через Тинькофф останавливаются. По выходным и во время государственных праздников РФ биржа не работает и торговать валютой не получится."
"Какая комиссия при покупке и продаже валюты на бирже для компаний?","Единой комиссии, как у физлиц, нет. Для компаний есть возможность согласовать индивидуальные условия по биржевой конвертации. Сделать это можно через персонального менеджера в чате в приложении или личном кабинете Тинькофф Бизнеса. Текущую сумму комиссии за каждую конкретную операцию вы увидите во время оформления заявки."
"Как сделать бухгалтерские проводки при торговле валютой на бирже?","Проводки для бухгалтерского и налогового учета могут отличаться в зависимости от системы налогообложения вашей компании. Списки проводок можно посмотреть в отдельной инструкции по учету сделок покупки и продажи валюты на брокерском счете."
"Зачем юридическим лицам покупать облигации?","Облигации — это долговые ценные бумаги с фиксированной доходностью, которая зачастую больше доходности по депозитам. При этом облигации позволяют инвестировать деньги более гибко, чем депозиты и овернайты, так как вы сами можете выбирать облигацию по нужным вам характеристикам. Соотношение доходности и риска. Вы можете покупать надежные государственные облигации Государство считается самым надежным заемщиком. Российские государственные облигации называются облигациями федерального займа (ОФЗ) с доходностью примерно как у депозита, а можете приобретать облигации разных компаний — их называют корпоративными облигациями. Корпоративные облигации считаются более рисковыми, но и доходность по ним может быть намного выше: она зависит от надежности компании, выпустившей облигацию. Срок инвестирования. На рынке сотни облигаций с разными сроками погашения: от нескольких дней до десятилетий. Таким образом, в период высоких ставок вы можете зафиксировать высокую доходность на весь срок существования облигации. То есть доходность, которую вы увидите при покупке облигации с фиксированными купонами Купоны — регулярные денежные выплаты процентов по облигациям. Фиксированные или постоянные купоны означают, что сумму всех будущих выплат вы знаете заранее. А по облигациям с плавающим или переменным купоном размер выплат может меняться , сохранится и в будущем, даже если ставки по новым выпускам облигаций и депозитам к этому времени станут ниже. При этом даже долгосрочную облигацию можно продать до ее погашения: это можно сделать в любой рабочий день биржи. Разница лишь в том, что стоимость погашения облигации в конце ее срока вы знаете заранее — обычно это 1000 ₽. А стоимость продажи облигации до ее погашения может меняться в зависимости от спроса и предложения со стороны других инвесторов, торгующих на бирже. Так происходит, потому что погашение облигации — это возврат долга от эмитента держателю облигации, а продажа облигации до ее погашения — это перепродажа облигации другому инвестору. Дополнительные возможности. На бирже есть облигации с дополнительными характеристиками. Например, по некоторым облигациям сумма основного долга возвращается не в конце срока, а по частям вместе с выплатой процентов. Такие облигации называются облигациями с амортизацией. Кроме того, можно найти облигации, доходность которых привязана к другим финансовым показателям. Например, существует отдельный вид гособлигаций — ОФЗ‑ИН, которые помогают защититься от инфляции. Купонный доход по таким облигациям равен 2,5% от их номинальной стоимости. Но сама номинальная стоимость ежемесячно увеличивается на уровень инфляции. В конце срока ОФЗ‑ИН погашается как раз по этой увеличенной номинальной стоимости, что и позволяет защитить деньги от инфляции."
"Как купить или продать облигации?","Пока что юридические лица могут купить облигации только в личном кабинете Тинькофф Бизнеса — в будние дни с 10:00 до 18:00 по московскому времени. Уже работаем над добавлением возможности торговать облигациями и в приложении Тинькофф Бизнеса. Как купить: На главном экране личного кабинета в списке счетов выберите «Брокерский счет» → «Инструменты для бизнеса» → «Облигации». При необходимости выберите нужные вам фильтры по валюте облигации, наличию оферты У облигаций оферта означает возможность досрочного погашения облигации по решению эмитента. При этом в некоторых облигациях с офертой погашение для инвесторов добровольное, а в других — обязательное и типу купонной доходности → нажмите на нужную вам облигацию. Укажите количество лотов Лот — это минимальное количество бумаг, которое можно купить за одну сделку. В облигациях обычно один лот равен одной облигации → «Купить». После покупки на экране появится подтверждение: со счета спишут деньги, а облигация появится в вашем портфеле. Но фактически денежные расчеты по сделке и поставка облигации завершатся только на следующий рабочий день в 04:00 по московскому времени — это важно помнить при бухгалтерском учете. Как продать: на главном экране личного кабинета в списке счетов выберите «Брокерский счет» → опуститесь до перечня купленных облигаций и выберите нужную → «Продать» → укажите количество лотов → «Продать». При продаже облигации расчеты также проходят только на следующий рабочий день. Поэтому вывести деньги, полученные от продажи облигации, можно только после 04:00 по московскому времени следующего дня после продажи облигации. Что такое НКД при покупке и продаже облигации. НКД — это накопленный купонный доход, который покупатель облигации платит ее продавцу сверх цены облигации. НКД нужен, чтобы продавец облигации не потерял процентные выплаты за дни, которые он продержал облигацию. Например, каждые три месяца по облигации выплачиваются 30 ₽ купонного дохода. Если с момента последней выплаты прошел один месяц, то по облигации уже скопилась выплата 10 ₽. Если в этот момент продать облигацию, то эти 10 ₽ вам компенсирует ее покупатель. А он, в свою очередь, получит эти деньги во время ближайшей купонной выплаты. Подробнее про накопленный купонный доход"
"Какие облигации могут купить юрлица в Тинькофф?","Только облигации, которые Московская биржа отнесла к первому и второму котировальным спискам, обычно это облигации с хорошим кредитным рейтингом и высокой ликвидностью Ликвидность ценной бумаги — это характеристика, которая показывает, как быстро можно продать ценную бумагу, не снижая ее цену . Также есть ограничения по валюте: юридическим лицам можно покупать только облигации в рублях и юанях. Исключение: замещающие облигации, золотые облигации, структурные облигации и облигации со структурным доходом — они юридическим лицам пока недоступны."
"Кому доступна торговля облигациями?","Компаниям с брокерским счетом в Тинькофф, если учредитель и генеральный директор юридического лица — один и тот же человек. Если у компании сложная структура владения, то доступ к облигациям будет заблокирован. Это нужно, чтобы обезопасить компанию от ситуации, когда генеральный директор имеет возможность совершить убыточную сделку без уведомления совета директоров, акционеров или учредителей. Предоставьте актуальную версию устава своему менеджеру в чате Тинькофф Бизнеса. Если в уставе не будет ограничений на единоличное совершение сделок генеральным директором на определенную сумму, то доступ к облигациям разблокируют в течение двух рабочих дней после вашего обращения. Если в уставе будет такое ограничение, то нужно предоставить решение о снятии ограничений в рамках брокерского обслуживания для генерального директора. На этом решении должны быть подписи всех участников совета директоров и учредителей. Отправьте решение в виде отдельного документа своему менеджеру в чате Тинькофф Бизнеса. Нам понадобится оригинал документа, поэтому менеджер вызовет представителя, который заберет документ в удобном вам месте и в удобное время — это бесплатно."
"Какая комиссия за торговлю облигациями для юридических лиц?","Комиссия составляет 0,5% от суммы сделки покупки или продажи. Например, вы покупаете облигацию за 1000 ₽. Тогда со счета спишут 1000 ₽ за саму облигацию и комиссию: 1000 × 0,5% = 5 ₽. Если затем вы продадите эту облигацию за 1100 ₽, то деньги от продажи придут на счет и отдельной операцией будет списана комиссия: 1100 × 0,5% = 5,5 ₽. При выплате купонов и при погашении облигации комиссий нет. Также нет комиссий за пополнение брокерского счета или вывод денег. Как пополнить брокерский счет для бизнеса"
"Как вывести деньги с брокерского счета для юрлиц?","Это можно сделать в приложении Тинькофф Бизнеса или личном кабинете: на главной в списке счетов выберите брокерский счет → нажмите на кнопку «Вывести» → выберите счет, на который хотите перевести деньги → введите сумму, которую хотите вывести → нажмите на кнопку «Вывести»."
"На какой счет можно вывести деньги?","Деньги можно вывести только на расчетные счета своей компании в Тинькофф. Рубли — только на рублевый расчетный счет, юани — на юаневый. Как открыть счет в юанях"
"Можно ли вывести деньги на карту физлица?","Нет, вывести деньги можно только на расчетный счет своей компании в Тинькофф."
"В какое время можно вывести деньги?","Можно в любое время вывести деньги, которые не вложены в биржевые инструменты. Если деньги в овернайте, то вывести их можно будет только после окончания размещения — на следующий рабочий день."
"Можно ли вывести часть денег с брокерского счета?","Да, можно вывести любую доступную сумму. Она указана на главной странице счета в личном кабинете или приложении."
"Какую комиссию нужно заплатить за вывод денег с брокерского счета для юрлиц?","Мы не берем комиссию за вывод денег с брокерского счета."
"Как закрыть брокерский счет для юрлиц?","Закрыть брокерский счет можно через техническую поддержку Тинькофф: написать в чат или позвонить на горячую линию по телефону 8 800 700‑66‑66 ."
